web-scraper-order,web-scraper-start-url,season,season-href,anime,anime-href,name,score,rank,popularity,members,season_repeat,type,studio
1648530274-1492,https://myanimelist.net/anime/season/archive,Spring 2004,https://myanimelist.net/anime/season/2004/spring,Morizo to Kikkoro,https://myanimelist.net/anime/12613/Morizo_to_Kikkoro,Morizo to Kikkoro,N/A,#12665,#16458,205,Spring 2004,TV,null
1648528165-1160,https://myanimelist.net/anime/season/archive,Fall 2001,https://myanimelist.net/anime/season/2001/fall,Hikaru no Go,https://myanimelist.net/anime/135/Hikaru_no_Go,Hikaru no Go,8.08,#461,#1442,"123,926",Fall 2001,TV,Studio Pierrot
1648547113-4194,https://myanimelist.net/anime/season/archive,Spring 2018,https://myanimelist.net/anime/season/2018/spring,Caligula (TV),https://myanimelist.net/anime/36828/Caligula_TV,Caligula (TV),6.01,#8722,#2105,"71,817",Spring 2018,TV,Satelight
1648535227-2280,https://myanimelist.net/anime/season/archive,Spring 2009,https://myanimelist.net/anime/season/2009/spring,Shin Mazinger Shougeki! Z-hen,https://myanimelist.net/anime/5485/Shin_Mazinger_Shougeki_Z-hen,Shin Mazinger Shougeki! Z-hen,7.67,#1165,#4785,"14,062",Spring 2009,TV,Bee Media
1648535899-2387,https://myanimelist.net/anime/season/archive,Summer 2010,https://myanimelist.net/anime/season/2010/summer,Digimon Xros Wars,https://myanimelist.net/anime/8624/Digimon_Xros_Wars,Digimon Xros Wars,6.68,#5296,#2765,"44,255",Summer 2010,TV,Toei Animation
1648520593-46,https://myanimelist.net/anime/season/archive,Spring 1967,https://myanimelist.net/anime/season/1967/spring,Ribbon no Kishi,https://myanimelist.net/anime/3024/Ribbon_no_Kishi,Ribbon no Kishi,6.71,#5156,#7710,"4,262",Spring 1967,TV,Mushi Production
1648523981-527,https://myanimelist.net/anime/season/archive,Fall 1988,https://myanimelist.net/anime/season/1988/fall,Meimon! Daisan Yakyuubu,https://myanimelist.net/anime/4121/Meimon_Daisan_Yakyuubu,Meimon! Daisan Yakyuubu,N/A,#12479,#12726,620,Fall 1988,TV,null
1648536832-2533,https://myanimelist.net/anime/season/archive,Summer 2011,https://myanimelist.net/anime/season/2011/summer,R-15,https://myanimelist.net/anime/10611/R-15,R-15,6.45,#6525,#1896,"85,541",Summer 2011,TV,AIC
1648536158-2428,https://myanimelist.net/anime/season/archive,Spring 2010,https://myanimelist.net/anime/season/2010/spring,Bakugan Battle Brawlers: New Vestroia,https://myanimelist.net/anime/5337/Bakugan_Battle_Brawlers__New_Vestroia,Bakugan Battle Brawlers: New Vestroia,6.48,#6364,#2395,"58,356",Spring 2010,TV,TMS Entertainment
1648530016-1451,https://myanimelist.net/anime/season/archive,Fall 2004,https://myanimelist.net/anime/season/2004/fall,Final Approach,https://myanimelist.net/anime/119/Final_Approach,Final Approach,6.53,#6080,#3238,"33,562",Fall 2004,TV,Zexcs
1648530491-1528,https://myanimelist.net/anime/season/archive,Spring 2004,https://myanimelist.net/anime/season/2004/spring,Kyou kara Maou!,https://myanimelist.net/anime/251/Kyou_kara_Maou,Kyou kara Maou!,7.65,#1198,#1671,"102,570",Spring 2004,TV,Studio Deen
1648526653-922,https://myanimelist.net/anime/season/archive,Fall 1998,https://myanimelist.net/anime/season/1998/fall,Generator Gawl,https://myanimelist.net/anime/1022/Generator_Gawl,Generator Gawl,6.89,#4303,#5771,"8,834",Fall 1998,TV,Tatsunoko Production
1648540448-3111,https://myanimelist.net/anime/season/archive,Summer 2014,https://myanimelist.net/anime/season/2014/summer,Aldnoah.Zero,https://myanimelist.net/anime/22729/AldnoahZero,Aldnoah.Zero,7.41,#1941,#367,"475,277",Summer 2014,TV,A-1 Pictures
1648529986-1446,https://myanimelist.net/anime/season/archive,Fall 2004,https://myanimelist.net/anime/season/2004/fall,Harukanaru Toki no Naka de: Hachiyou Shou,https://myanimelist.net/anime/247/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou,Harukanaru Toki no Naka de: Hachiyou Shou,7.02,#3796,#3934,"22,560",Fall 2004,TV,Yumeta Company
1648537666-2666,https://myanimelist.net/anime/season/archive,Fall 2012,https://myanimelist.net/anime/season/2012/fall,Teekyuu,https://myanimelist.net/anime/15125/Teekyuu,Teekyuu,6.58,#5802,#2339,"60,631",Fall 2012,TV,MAPPA
1648529974-1444,https://myanimelist.net/anime/season/archive,Fall 2004,https://myanimelist.net/anime/season/2004/fall,Fuujin Monogatari,https://myanimelist.net/anime/1524/Fuujin_Monogatari,Fuujin Monogatari,7.23,#2764,#4505,"16,435",Fall 2004,TV,Production I.G
1648521849-217,https://myanimelist.net/anime/season/archive,Fall 1977,https://myanimelist.net/anime/season/1977/fall,Gekisou! Rubenkaiser,https://myanimelist.net/anime/20115/Gekisou_Rubenkaiser,Gekisou! Rubenkaiser,N/A,#16204,#13501,469,Fall 1977,TV,Toei Animation
1648525903-811,https://myanimelist.net/anime/season/archive,Spring 1995,https://myanimelist.net/anime/season/1995/spring,Mobile Suit Gundam Wing,https://myanimelist.net/anime/90/Mobile_Suit_Gundam_Wing,Mobile Suit Gundam Wing,7.7,#1073,#1274,"145,877",Spring 1995,TV,Sunrise
1648536212-2436,https://myanimelist.net/anime/season/archive,Spring 2010,https://myanimelist.net/anime/season/2010/spring,B-gata H-kei,https://myanimelist.net/anime/7817/B-gata_H-kei,B-gata H-kei,6.88,#4351,#499,"358,306",Spring 2010,TV,Hal Film Maker
1648532639-1872,https://myanimelist.net/anime/season/archive,Fall 2007,https://myanimelist.net/anime/season/2007/fall,Elec-king The Animation,https://myanimelist.net/anime/3243/Elec-king_The_Animation,Elec-king The Animation,N/A,#16022,#15458,271,Fall 2007,TV,null
1648533477-2002,https://myanimelist.net/anime/season/archive,Winter 2007,https://myanimelist.net/anime/season/2007/winter,Kakuza Tousan,https://myanimelist.net/anime/41118/Kakuza_Tousan,Kakuza Tousan,N/A,#17015,#17112,170,Winter 2007,TV,null
1648542717-3481,https://myanimelist.net/anime/season/archive,Fall 2016,https://myanimelist.net/anime/season/2016/fall,Nu Sheng Su She Ri Chang,https://myanimelist.net/anime/37927/Nu_Sheng_Su_She_Ri_Chang,Nu Sheng Su She Ri Chang,N/A,#12969,#16689,193,Fall 2016,TV,null
1648548548-4428,https://myanimelist.net/anime/season/archive,Spring 2019,https://myanimelist.net/anime/season/2019/spring,Bungou Stray Dogs 3rd Season,https://myanimelist.net/anime/38003/Bungou_Stray_Dogs_3rd_Season,Bungou Stray Dogs 3rd Season,8.21,#306,#370,"474,319",Spring 2019,TV,Bones
1648535654-2349,https://myanimelist.net/anime/season/archive,Fall 2010,https://myanimelist.net/anime/season/2010/fall,Super Robot Taisen OG: The Inspector,https://myanimelist.net/anime/9241/Super_Robot_Taisen_OG__The_Inspector,Super Robot Taisen OG: The Inspector,7.24,#2718,#5799,"8,723",Fall 2010,TV,Asahi Production
1648524717-634,https://myanimelist.net/anime/season/archive,Fall 1991,https://myanimelist.net/anime/season/1991/fall,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,https://myanimelist.net/anime/8753/Ultraman_Kids__Haha_wo_Tazunete_3000-man_Kounen,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,6.22,#7700,#12801,603,Fall 1991,TV,null
1648528975-1286,https://myanimelist.net/anime/season/archive,Spring 2002,https://myanimelist.net/anime/season/2002/spring,Tokyo Underground,https://myanimelist.net/anime/175/Tokyo_Underground,Tokyo Underground,6.61,#5682,#3601,"27,278",Spring 2002,TV,Studio Pierrot
1648534235-2122,https://myanimelist.net/anime/season/archive,Spring 2008,https://myanimelist.net/anime/season/2008/spring,Blue Dragon: Tenkai no Shichi Ryuu,https://myanimelist.net/anime/4197/Blue_Dragon__Tenkai_no_Shichi_Ryuu,Blue Dragon: Tenkai no Shichi Ryuu,6.53,#6067,#4546,"16,039",Spring 2008,TV,Studio Pierrot
1648524976-673,https://myanimelist.net/anime/season/archive,Fall 1992,https://myanimelist.net/anime/season/1992/fall,Space Oz no Bouken,https://myanimelist.net/anime/3451/Space_Oz_no_Bouken,Space Oz no Bouken,N/A,#14052,#13909,408,Fall 1992,TV,E&G Films
1648526304-868,https://myanimelist.net/anime/season/archive,Fall 1997,https://myanimelist.net/anime/season/1997/fall,Battle Athletess Daiundoukai (TV),https://myanimelist.net/anime/1186/Battle_Athletess_Daiundoukai_TV,Battle Athletess Daiundoukai (TV),6.91,#4208,#5879,"8,461",Fall 1997,TV,AIC
1648520333-14,https://myanimelist.net/anime/season/archive,Summer 1965,https://myanimelist.net/anime/season/1965/summer,Obake no Q-tarou,https://myanimelist.net/anime/1547/Obake_no_Q-tarou,Obake no Q-tarou,6.05,#8578,#12476,682,Summer 1965,TV,Shin-Ei Animation
1648549021-4503,https://myanimelist.net/anime/season/archive,Fall 2020,https://myanimelist.net/anime/season/2020/fall,D4DJ: First Mix,https://myanimelist.net/anime/39681/D4DJ__First_Mix,D4DJ: First Mix,7.66,#1183,#3625,"26,857",Fall 2020,TV,SANZIGEN
1648521116-115,https://myanimelist.net/anime/season/archive,Fall 1972,https://myanimelist.net/anime/season/1972/fall,Ryuuichi Manga Gekijou Onbu Obake,https://myanimelist.net/anime/8685/Ryuuichi_Manga_Gekijou_Onbu_Obake,Ryuuichi Manga Gekijou Onbu Obake,N/A,#13528,#14451,350,Fall 1972,TV,Eiken
1648531677-1718,https://myanimelist.net/anime/season/archive,Fall 2006,https://myanimelist.net/anime/season/2006/fall,Bartender,https://myanimelist.net/anime/1589/Bartender,Bartender,7.35,#2177,#1969,"80,449",Fall 2006,TV,Palm Studio
1648535648-2348,https://myanimelist.net/anime/season/archive,Fall 2010,https://myanimelist.net/anime/season/2010/fall,Battle Spirits: Brave,https://myanimelist.net/anime/9346/Battle_Spirits__Brave,Battle Spirits: Brave,7.1,#3410,#8164,"3,617",Fall 2010,TV,Sunrise
1648520792-71,https://myanimelist.net/anime/season/archive,Spring 1969,https://myanimelist.net/anime/season/1969/spring,Sobakasu Pucchi,https://myanimelist.net/anime/19999/Sobakasu_Pucchi,Sobakasu Pucchi,N/A,#13933,#15188,289,Spring 1969,TV,null
1648543415-3595,https://myanimelist.net/anime/season/archive,Summer 2016,https://myanimelist.net/anime/season/2016/summer,Fate/kaleid liner Prisma?Illya 3rei!!,https://myanimelist.net/anime/31706/Fate_kaleid_liner_Prisma%E2%98%86Illya_3rei,Fate/kaleid liner Prisma?Illya 3rei!!,7.53,#1551,#1564,"111,137",Summer 2016,TV,SILVER LINK.
1648546061-4021,https://myanimelist.net/anime/season/archive,Fall 2018,https://myanimelist.net/anime/season/2018/fall,Reizouko no Tsukenosuke!,https://myanimelist.net/anime/38451/Reizouko_no_Tsukenosuke,Reizouko no Tsukenosuke!,N/A,#13443,#16862,183,Fall 2018,TV,null
1648536784-2525,https://myanimelist.net/anime/season/archive,Summer 2011,https://myanimelist.net/anime/season/2011/summer,Morita-san wa Mukuchi.,https://myanimelist.net/anime/10671/Morita-san_wa_Mukuchi,Morita-san wa Mukuchi.,6.52,#6130,#3928,"22,654",Summer 2011,TV,Seven
1648529497-1369,https://myanimelist.net/anime/season/archive,Spring 2003,https://myanimelist.net/anime/season/2003/spring,Kappamaki,https://myanimelist.net/anime/20123/Kappamaki,Kappamaki,N/A,#17073,#15497,269,Spring 2003,TV,Trans Arts
